Transcription_N,Class
"der letzte Mitarbeiter mit dem ich gerade gesprochen habe in Ihrem Servicecenter das ist der Herr  den ich heute um acht Uhr fünf und vierzig am siebzehnten zwölften kontaktiert hab' war äußerst kundenorientiert  er hat  in Absprache mit seiner Führungskraft eine Lösung gefunden um mich als Kunde bei T-Mobile zu halten  was die beiden vorangegangenen Gesprächspartner gestern  Nachmittag am sechzehnten Dezember nicht getan haben und sich äußerst destruktiv verhalten haben insofern  ist Ihr Mitarbeiter der Herr  äußerst kundenorientiert und versucht Lösungen zu finden die im Sinne vor allem des Kunden aber auch Ihres Unternehmens  sind und dadurch ist für dieses Verhalten auch vorbildlich",1
"der letzte Mitarbeiter mit dem ich gerade gesprochen habe in Ihrem Servicecenter das ist der Herr  den ich heute um acht Uhr fünf und vierzig am siebzehnten zwölften kontaktiert hab' war äußerst kundenorientiert  er hat  in Absprache mit seiner Führungskraft eine Lösung gefunden um mich als Kunde bei T-Mobile zu halten  was die beiden vorangegangenen Gesprächspartner gestern  Nachmittag am sechzehnten Dezember nicht getan haben und sich äußerst destruktiv verhalten haben insofern  ist Ihr Mitarbeiter der Herr  äußerst kundenorientiert und versucht Lösungen zu finden die im Sinne vor allem des Kunden aber auch Ihres Unternehmens  sind und dadurch ist für dieses Verhalten auch vorbildlich",d
"also ich bin mit der Beratung schon zufrieden nur man hätte mir das zu Anfang des Auftrags die mit diesem Herrn überhaupt nichts zu tun hat auch sagen können dass die Signalstärke zu gering sein wird das ist meine Meinung dazu",1
"weiter weiterweiter",0
"ja ich hatte gefragt nach Call_and_surf comfort weil ich jetzt leider erst   nur dieses Call comfort freigeschaltet bekommen bekomme  die Variante finde ich ein bisschen blöd weil ich jetzt noch  erst am achtzehnten freigeschaltet werde dann noch sehr wahrscheinlich sechs Werktage auf mein Internet  warten muss  das finde ich ein bisschen lang weil ich eigentlich diesen Call_and_surf comfort  nur deswegen abgeschlossen hab' um damit ins Internet zu kommen und nicht um zu telefonieren aber da kann der Servicemitarbeiter nichts dafür der war sehr nett",1
"weiter weiter",0
"weiter",0
"weiter  hallo das war okay was sie mir heute da erzählt hat",0
"ich war sehr zufrieden ich hoffe auch dass das Problem gelöst wird und damit ist eigentlich gut und weiter",0
"ja ich war zufrieden mit Ihrer Auskunft",0
"ja es ist schlimm ich hab' hier schon acht Tage kein Telefon mehr und der Notruf geht nicht also ich weiß nicht was Sie machen wirklich nicht",3
"meine Anfrage ging darum ob ich mit meinem alten MDA der Serie eins  auch die neuen navigate Software drei Punkt null benutzen kann und ob denn vielleicht die alte Version per ersten Januar abgeschaltet wird Ihr Kollege war sehr freundlich und nett konnte mir dazu aber technische keine genaue Auskunft geben obwohl er sich bei der Technik noch mal rückvergewissert hat leider weiß ich jetzt immer noch nicht ob ich updaten muss gegebenenfalls mir dazu auch noch ein neues Endgerät kaufen muss",1
"ja der angerufene Mitarbeiter von Ihnen war freundlich kompetent also er hat mir alles gut alles gut gelaufen  bin war sehr zufrieden Ende",0
"ja der Kollege scheint ziemlich kompetent gewesen zu sein und ja mit der Aussage war ich halt noch nicht ganz zufrieden weil sind natürlich noch zweite Tag mit DSL Störung antrat hier ich hoffe es wird schnell behoben danke",3
"das Gespräch mit der ersten Mitarbeiterin war vorzüglich doch dann sollte ich weitergestellt werden zur Terminvereinbarung aber das hat bis jetzt noch nicht stattgefunden stattdessen muss ich jetzt diese Fragen beantworten",c
"ja guten Tag  mein Name also das hat die Frau [vorn]  sehr gut gemacht also Respekt da können Sie ruhig an den Herrn  vom Vorstand oder den Herrn     weiterleiten die sollen sich eine Scheibe davon abschneiden also die normalen Mitarbeiter unten an der Front sind bei Weitem flexibler als die Vorstandmitglieder selber  ja schöne Weihnachten und ein guten Rutsch an alle bis denn",0
"weiter",0
"die Dame die mich gerade beraten hat war sehr sehr nett hat alles auch geändert wie das für mich am Besten wäre wobei ich beim letzten Anruf da halt nicht so bedient war danke",0
"weiter",0
"ja gut ich hatte mit Herrn  gesprochen ich war äußerst  zufrieden und  er hat mich gut beraten und ich hoffe dass meine mein Anliegen dass das auch klappt und ich glaube daran also ich war sehr sehr zufrieden Dankeschön",0
"all die Anrufe die ich im Moment gemacht habe und die Tage vorher die waren super die Leute sind sehr freundlich das muss ich schon sagen",0
"sehr höflich sehr kompetent sehr angenehm Dankschön",0
"ich war  erstmal  sehr zufrieden aber wie vor drei oder vier Woche ich hätte lauter Sechs gegeben aber die Dame war sehr kompetent hab' ich mich sogar geäußert wieso  jetzt alle kompetent ist und weil so viele Erfahrung hat sie da aber die davor Anrufen die vor einer Woche oder zwei Wochen die war ich hätte mit mit Zehn bewertet danke weiter",d
"sehr höflicher  Kontakt freundlich und  kompetent",0
"äußerst zufrieden",0
"weiter",0
"das war noch nicht   noch nicht beendet das Gespräch    der Kundendienst noch  weiter  geredet gesprochen hat danke",b
"also wenn ich mal zwanzig Minuten warten muss bis jemand ans Telefon geht bei Euch ist ein bisschen arg lang",e
"das Kundengespräch war noch gar nicht beendet ich bin noch in der Warteschleife",a
"ja ich war noch   ich hab' noch keine ausreichende  Antwort bekommen weiter",a
"sehr gutes Beratungsgespräch ich war sehr zufrieden ich hab' alles erfahren was ich wollte",0
"also guten Tag die Telefongespräche die führe sind immer wunderbar es wird freundlich  mit mir umgegangen Sie verstehen auch immer alles nur meistens im Nachhinein klappt's dann trotzdem nicht das war's danke weiter",0
"ja war zufrieden ja weiter",0
"das Gespräch war freundlich und  kompetent allerdings hätten wir erwartet  dass unser Anliegen nämlich das Guthaben auszuzahlen  ja ohne erneute Erforderung  erfolgt",1
"weiter",0
"Angelegenheit gut geklärt",0
"ja ich habe eben mit einer Dame gesprochen von Ihnen und ich wollte freigeschaltet zu Alice werden und das  da die Dame sagte ich werd' erst im Juli nächsten Jahr freigeschaltet und  ich weiß nicht ich bekomm' ein Laptop zu Weihnachten und ich weiß nicht wie ich mich dann verhalten muss oder kann wenn ich mal ins Internet will nicht deswegen ruf' ich Sie heute an damit ich Bescheid weiß was ich machen muss ja weiter",1
"das Gespräch war sehr angenehm ich hatte den Eindruck  dass ich  mit einem kompetenten  Menschen gesprochen habe danke",0
"ich bin zufrieden mit dem Anruf vielen Dank schönen Tag noch",0
"war alles wirklich super und total kompetent und nett und freundlich und man konnte mir wirklich sehr gut weiterhelfen danke",0
"T-Mobile gibt ständig Falschaussagen  die Mitarbeiter sind nicht in der sind mal in der Lage  einem zu helfen sind sie nicht in der Lage teilweise aus Willkür bitte senden Sie mir alle Informationen zu  zum Sonderkündigungsrecht T-Mobile ist für mich gestorben",d
"T-Mobile gibt ständig Falschaussagen  die Mitarbeiter sind nicht in der sind mal in der Lage  einem zu helfen sind sie nicht in der Lage teilweise aus Willkür bitte senden Sie mir alle Informationen zu  zum Sonderkündigungsrecht T-Mobile ist für mich gestorben",1
"weiter",0
"die Dame war sehr freundlich ich bedanke mich sehr für ihre Hilfe",0
"also ich hatte jetzt ein Problem mit der Rechnung mir wurde sehr  viel weitergeholfen die Dame war sehr sehr freundlich und  ja ich kann nur positives berichten weiter",4
"weiter",0
"ich bin sehr zufrieden",0
"die Mitarbeiterin war sehr zuvorkommend sehr nett und sehr kompetent",0
"gute qualifizierte Beratung und prompte Reaktion der Umstellung des Auftrags",0
"ich habe gerade mit einem Kundenberater telefoniert der mich nur freundlich aufmerksam und höflich war sondern mich auch sehr kompetent und vorallendingen geduldig beraten hat",0
"der Mitarbeiter war äußerst kompetent freundlich und hilfsbereit",0
"ich wurde einfach in eine Endloswarteschleife  verbunden und damit war das Beratung beendet",a
"die Beratung war sehr gut lediglich die Wartezeit bis ein freier Mitarbeiter zur Verfügung stand die war sehr sehr lange",e
"gut also ich bin zufrieden leider ist die Leitung noch nicht  repariert ich melde mich später",3
"weiter",0
"ich habe kein Gespräch geführt und wurde dann in diese Kommentar Funktion geführt daher bin ich sehr unzufrieden",a
"ja ich war  äußerst zufrieden weil es ging sehr schnell mit der Verbindung ich hatte eine freundlich Mitarbeiterin die mir alles gut erklärt hat die mir meine Fragen beantwortet hat und  die Angelegenheit auch sofort geregelt hat",0
"ich wurde gestern von  von  Gesellschaft aus   Telefongesellschaft aus [ort] angerufen und und ich sollte dann einen neuen Vertrag abschließen und  ich sollte nur die mir die die Unterlagen bekommen und dann sollt' ich mich entscheiden aber ich glaub' das ist dem so was nicht wir müssen abwarten  was ich  was ich per Post bekomme und dann meld' ich mich wieder",1
"ich hab' zweimal angerufen einmal bin ich also ich hab' vom Funkloch unterbrochen worden es geht um die Übernahme einer einer Arztpraxis und da gibt's bei Ihnen auch so einen  Spezialangebot  der erste Mitarbeiter kannte sich nur schlecht aus der zweite Mitarbeiter beim zweiten Gespräch  war informiert  und  hat sofort auch ein Rückruf  angeboten gemacht was ich sehr  gut fand' und  im Vergleich zum ersten Mitarbeiter deutlich besser weiter",1
"ich hab' zweimal angerufen einmal bin ich also ich hab' vom Funkloch unterbrochen worden es geht um die Übernahme einer einer Arztpraxis und da gibt's bei Ihnen auch so einen  Spezialangebot  der erste Mitarbeiter kannte sich nur schlecht aus der zweite Mitarbeiter beim zweiten Gespräch  war informiert  und  hat sofort auch ein Rückruf  angeboten gemacht was ich sehr  gut fand' und  im Vergleich zum ersten Mitarbeiter deutlich besser weiter",d
"man kann nicht beurteilen was noch nicht erledigt ist",a
"weiter",0
"sehr zufrieden",0
"der junge  der junge Mann war sehr sehr freundlich ich war sehr zufrieden",0
"Service ist   zufriedenstellend also sehr nette Kundenberater mehr gibt's da eigentlich nicht zu sagen",0
"sehr zufrieden sehr gute Berater",0
"das kann ich Ihnen genau sagen ich hab' mittlerweile mit Ihnen mit Ihrer Firma zwölf Gespräche geführt seit dem vierten Dezember ist unser Telefon gestört zwischendurch ging es mal für ein zwei Tage gut ansonsten ist  meine Störung gar nicht weitergegeben worden also wie ich von Ihrer Seite behandelt werde ist schon eine riesen Sauerei der einzige der wirklich was bei Euch wirklich nur kollektives zu hören  sagen kann ist der Herr  ansonsten muss ich sagen sehr mies sehr mies Ihr Service",4
"äußerst sachgemäße  kompetente verständnisvolle Beratung  einwandfrei herzlichen Dank",0
"ich war äußerst zufrieden mit der Beratung",0
"also mit dem Gespräch war ich eigentlich sehr zufrieden auch mit der Beratung nur was mich stört halt sind die verschiedenen Tarife da bin ich noch nicht so einverstanden vielen Dank",1
"ich war mit allem sehr zufrieden weiter",0
"am siebte zwölfte hab' ich ein Gespräch geführt mit der Deutsche Telekom da wurde mit gesagt ich soll die Rechnungs Reklamation kurz per Fax mitteile weil's schriftlich sein muss und dann bekomm' ich das auf jeden Fall erstattet ich hab' damals sag' mal ich bin gespannt wie das klappt die Dame hatte versichert das geht auf jeden Fall problemlos  es ist ein Fehler auf der Rechnung und so weiter jetzt bekomm' ich ein zweiseitiges Schreiben aus dem hervorgeht  die Telekom ist uneinsichtig und das kann so nicht sein jetzt hab' ich gerade angerufen und den ich hab' gemeint ich schickt entweder einen Techniker vorbei wie für hundert Euro oder er erstattet's nicht also das ist schon wirklich nicht sehr prickelnd einen Einwand von hier ist technisch nicht möglich also geht's nur über einen Techniker",4
"der Berater war sehr zuvorkommend und sehr produktiv",0
"ich bin nur deshalb zufrieden weil ich mit demselben Problem jetzt schon drei verschiedene Antworten bekommen habe es war immer sehr nett aber nie dasselbe",d
"ich war zufrieden mit der Auskunft",0
"weiter",0
"wenn meine geäußerte Bitte so eintritt bin ich zufrieden das Gespräch war sehr angenehm die Mitarbeiterin war sehr freundlich weiter so",0
"die Mitarbeiterin war sehr freundlich und sehr kompetent vielen Dank dafür",0
"weiter",0
"es ist schon schade dass hier ein Techniker ist und ich keine Anrufe mehr entgegen nehmen kann ich von einer Hotline in die andere telefonieren muss zweitens dass der Techniker dann auch noch einen Stecker falsch steckt und ich als dämliche Laie das rausfinden muss damit ich wieder anrufen kann das ist die Telekom also ob ich noch lange Kunde bin das ist zweifelhaft",d
"die Information war hilfreich und äußerst kompetent danke",0
"ich find' es toll dass man schnell jemand bei der Telekom hat der einem helfen kann danke",0
"der Anruf wurde äußerst äußerst unzufrieden beantwortet und dann ohne Angabe von Gründen aufgelegt so kann man mit Kunden nicht umgehen",b
"weiter",0
"war eine nette Dame",0
"ich bin äußerst zufrieden  eine sehr freundlich Stimme  gute Beratung schnell und exakt danke",0
"also ich kann nur sagen wenn ich T-Mobile anrufe ich habe immer sehr sehr sehr nette Kollegen dran egal wer's ist sie sind sehr hilfsbereit und ich werd' auch jedem oder ich sag' auch jedem beliebt bei T-Mobile was besseres gibt's gar nicht und dann können Sie dem Herrn [vorn]   den hab' ich vorhin vergessen auch sagen dass ich ihn als sehr sehr netten  Mitarbeiter von Ihnen bezeichne oder und die Frau  eben auch war also ganz ganz nett weiter",0
"also die die Beratung war äußerst gut weil die  es wurde auf die auf meine Fragen eingegangen und meinen Wünschen hat das alles entsprochen also bin sehr zufrieden äußerst zufrieden weiter",0
"weiter",0
"also meine Meinung ist folgendes bis man da endlich mal irgendwann an irgendeinen Servicemitarbeiter weiterkommt vergeht eine halbe Stunde das ist eine riesengroße Unverschämtheit so was darf normalerweise nicht passieren Servicewüste Telekom was anderes kann man da überhaupt nicht mehr nennen ist eine Katastrophe eine Katastrophe bis man da wirklich mal an einen Mitarbeiter kommt eine pure Katastrophe",e
